month,Features,No,score,F1,AUC
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",89,0.7777777777777778,0.7777777777777778,0.7777777777777777
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",90,0.4444444444444444,0.5,0.49350649350649356
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",91,0.5,0.4705882352941177,0.5416666666666666
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",92,0.3333333333333333,0.14285714285714288,0.5384615384615384
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",93,0.6666666666666666,0.6666666666666665,0.7012987012987013
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",94,0.7222222222222222,0.7368421052631577,0.725
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",95,0.6666666666666666,0.625,0.6625
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",96,0.5555555555555556,0.6363636363636365,0.5375
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",97,0.7222222222222222,0.7368421052631579,0.7375
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",98,0.6111111111111112,0.631578947368421,0.6111111111111112
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",99,0.7222222222222222,0.6666666666666666,0.75
12,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",100,0.7222222222222222,0.7058823529411764,0.7375
24,['CD4'],1,0.5909090909090909,0.5263157894736842,0.5909090909090909
24,['CD4'],2,0.6818181818181818,0.6666666666666666,0.6833333333333335
24,['CD4'],3,0.7727272727272727,0.8148148148148148,0.7678571428571428
24,['CD4'],4,0.5909090909090909,0.5714285714285713,0.5916666666666666
24,['CD4'],5,0.6818181818181818,0.6956521739130435,0.6818181818181818
24,['CD4'],6,0.6363636363636364,0.6363636363636365,0.6416666666666667
24,['CD4'],7,0.6818181818181818,0.6956521739130435,0.6818181818181818
24,['CD4'],8,0.6363636363636364,0.6666666666666666,0.6333333333333333
24,['CD4'],9,0.5909090909090909,0.5263157894736842,0.5909090909090909
24,['CD4'],10,0.6818181818181818,0.7741935483870969,0.6142857142857143
24,['CD4'],11,0.6363636363636364,0.6666666666666667,0.6363636363636364
24,['CD4'],12,0.5909090909090909,0.5714285714285715,0.6025641025641025
24,['CD4'],13,0.6363636363636364,0.6666666666666667,0.6952380952380952
24,['CD4'],14,0.5909090909090909,0.6086956521739131,0.625
24,['CD4'],15,0.6818181818181818,0.6666666666666666,0.6916666666666668
24,['CD4'],16,0.5909090909090909,0.64,0.6083333333333334
24,['CD4'],17,0.5454545454545454,0.5,0.5470085470085471
24,['CD4'],18,0.6818181818181818,0.631578947368421,0.675
24,['CD4'],19,0.6363636363636364,0.6,0.6363636363636364
24,['CD4'],20,0.6818181818181818,0.7199999999999999,0.6794871794871796
24,['CD4'],21,0.7727272727272727,0.7826086956521738,0.7727272727272728
24,['CD4'],22,0.7727272727272727,0.8275862068965517,0.7916666666666667
24,['CD4'],23,0.6818181818181818,0.631578947368421,0.675
24,['CD4'],24,0.6818181818181818,0.631578947368421,0.675
24,['CD4'],25,0.5909090909090909,0.5714285714285715,0.6025641025641025
24,['CD4'],26,0.6818181818181818,0.5333333333333333,0.6523809523809524
24,['CD4'],27,0.8181818181818182,0.8461538461538461,0.811965811965812
24,['CD4'],28,0.6818181818181818,0.5333333333333333,0.6428571428571429
24,['CD4'],29,0.6818181818181818,0.6666666666666666,0.6916666666666668
24,['CD4'],30,0.6818181818181818,0.6666666666666666,0.6833333333333335
24,['CD4'],31,0.8181818181818182,0.8333333333333333,0.8333333333333334
24,['CD4'],32,0.5454545454545454,0.6153846153846153,0.5357142857142857
24,['CD4'],33,0.6818181818181818,0.6956521739130435,0.6833333333333332
24,['CD4'],34,0.7272727272727273,0.6666666666666666,0.7179487179487178
24,['CD4'],35,0.5454545454545454,0.5833333333333334,0.5416666666666667
24,['CD4'],36,0.8181818181818182,0.8333333333333334,0.8166666666666668
24,['CD4'],37,0.45454545454545453,0.4545454545454546,0.4700854700854701
24,['CD4'],38,0.6818181818181818,0.6956521739130435,0.6916666666666667
24,['CD4'],39,0.6818181818181818,0.7199999999999999,0.675
24,['CD4'],40,0.6818181818181818,0.6666666666666666,0.6818181818181819
24,['CD4'],41,0.5909090909090909,0.6086956521739131,0.5909090909090908
24,['CD4'],42,0.7272727272727273,0.6666666666666665,0.7166666666666668
24,['CD4'],43,0.7727272727272727,0.8,0.7666666666666667
24,['CD4'],44,0.7272727272727273,0.7692307692307693,0.717948717948718
24,['CD4'],45,0.6363636363636364,0.6,0.6363636363636364
24,['CD4'],46,0.5909090909090909,0.64,0.5833333333333333
24,['CD4'],47,0.8636363636363636,0.8695652173913043,0.8666666666666667
24,['CD4'],48,0.5909090909090909,0.5263157894736842,0.5833333333333334
24,['CD4'],49,0.5909090909090909,0.47058823529411764,0.575
24,['CD4'],50,0.8636363636363636,0.8421052631578948,0.8583333333333333
24,['CD4'],51,0.7727272727272727,0.761904761904762,0.775
24,['CD4'],52,0.7727272727272727,0.7368421052631577,0.7666666666666667
24,['CD4'],53,0.5909090909090909,0.5263157894736842,0.5833333333333334
24,['CD4'],54,0.7272727272727273,0.7000000000000001,0.7589285714285714
24,['CD4'],55,0.7727272727272727,0.8,0.7666666666666667
24,['CD4'],56,0.6818181818181818,0.6666666666666667,0.7136752136752136
24,['CD4'],57,0.7272727272727273,0.7272727272727272,0.7333333333333333
24,['CD4'],58,0.6363636363636364,0.6,0.6333333333333334
24,['CD4'],59,0.5909090909090909,0.608695652173913,0.6
24,['CD4'],60,0.6818181818181818,0.7199999999999999,0.675
24,['CD4'],61,0.6818181818181818,0.6956521739130435,0.6833333333333332
24,['CD4'],62,0.45454545454545453,0.5,0.4642857142857143
24,['CD4'],63,0.45454545454545453,0.14285714285714288,0.38392857142857134
24,['CD4'],64,0.6818181818181818,0.588235294117647,0.6666666666666666
24,['CD4'],65,0.7272727272727273,0.7272727272727274,0.7521367521367521
24,['CD4'],66,0.7272727272727273,0.6666666666666665,0.7166666666666668
