month,Features,No,score,F1,AUC
12,"['TNM-Stage', 'CD4']",21,0.5625,0.631578947368421,0.55
12,"['TNM-Stage', 'CD4']",22,0.75,0.8333333333333334,0.6666666666666667
12,"['TNM-Stage', 'CD4']",23,0.5,0.5555555555555556,0.5272727272727272
12,"['TNM-Stage', 'CD4']",24,0.4375,0.30769230769230765,0.5166666666666667
12,"['TNM-Stage', 'CD4']",25,0.75,0.7999999999999999,0.7301587301587301
12,"['TNM-Stage', 'CD4']",26,0.5625,0.5882352941176471,0.5625
12,"['TNM-Stage', 'CD4']",27,0.625,0.6250000000000001,0.6349206349206349
12,"['TNM-Stage', 'CD4']",28,0.5,0.5555555555555556,0.6363636363636364
12,"['TNM-Stage', 'CD4']",29,0.75,0.7999999999999999,0.7301587301587301
12,"['TNM-Stage', 'CD4']",30,0.5,0.42857142857142855,0.4920634920634921
12,"['TNM-Stage', 'CD4']",31,0.625,0.6250000000000001,0.6349206349206349
12,"['TNM-Stage', 'CD4']",32,0.4375,0.47058823529411764,0.6538461538461539
12,"['TNM-Stage', 'CD4']",33,0.5625,0.5333333333333333,0.5625
12,"['TNM-Stage', 'CD4']",34,0.5625,0.6666666666666666,0.5317460317460317
12,"['TNM-Stage', 'CD4']",35,0.4375,0.5263157894736842,0.46825396825396826
12,"['TNM-Stage', 'CD4']",36,0.625,0.7000000000000001,0.625
12,"['TNM-Stage', 'CD4']",37,0.5,0.42857142857142855,0.5
12,"['TNM-Stage', 'CD4']",38,0.625,0.4,0.625
12,"['TNM-Stage', 'CD4']",39,0.5625,0.5333333333333333,0.5793650793650794
12,"['TNM-Stage', 'CD4']",40,0.5,0.6,0.47619047619047616
12,"['TNM-Stage', 'CD4']",41,0.4375,0.47058823529411764,0.4375
12,"['TNM-Stage', 'CD4']",42,0.625,0.7000000000000001,0.625
12,"['TNM-Stage', 'CD4']",43,0.6875,0.7368421052631579,0.7181818181818181
12,"['TNM-Stage', 'CD4']",44,0.75,0.7777777777777778,0.746031746031746
12,"['TNM-Stage', 'CD4']",45,0.4375,0.4,0.45000000000000007
12,"['TNM-Stage', 'CD4']",46,0.4375,0.5263157894736842,0.41666666666666663
12,"['TNM-Stage', 'CD4']",47,0.5,0.5,0.5
12,"['TNM-Stage', 'CD4']",48,0.625,0.6666666666666665,0.6507936507936507
12,"['TNM-Stage', 'CD4']",49,0.5,0.19999999999999998,0.5555555555555556
12,"['TNM-Stage', 'CD4']",50,0.8125,0.8421052631578948,0.8015873015873016
12,"['TNM-Stage', 'CD4']",51,0.625,0.4,0.5873015873015872
12,"['TNM-Stage', 'CD4']",52,0.6875,0.7058823529411764,0.7063492063492064
12,"['TNM-Stage', 'CD4']",53,0.6875,0.7368421052631579,0.7222222222222222
