month,Features,No,score,F1,AUC
36,['HLA TIL'],35,0.5555555555555556,0.7142857142857142,0.38461538461538464
36,['HLA TIL'],36,0.5,0.6666666666666666,0.34615384615384615
36,['HLA TIL'],37,0.5,0.6666666666666666,0.5
36,['HLA TIL'],38,0.5555555555555556,0.7142857142857143,0.5
36,['HLA TIL'],39,0.6111111111111112,0.7200000000000001,0.5714285714285714
36,['HLA TIL'],40,0.5555555555555556,0.6666666666666666,0.5
36,['HLA TIL'],41,0.6111111111111112,0.6956521739130435,0.6076923076923078
36,['HLA TIL'],42,0.5,0.608695652173913,0.46923076923076923
36,['HLA TIL'],43,0.7777777777777778,0.8461538461538461,0.7230769230769232
36,['HLA TIL'],44,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],45,0.5555555555555556,0.6,0.5584415584415584
36,['HLA TIL'],46,0.5555555555555556,0.7142857142857142,0.38461538461538464
36,['HLA TIL'],47,0.6666666666666666,0.75,0.6964285714285715
36,['HLA TIL'],48,0.5,0.5263157894736842,0.5
36,['HLA TIL'],49,0.6111111111111112,0.7199999999999999,0.5416666666666667
36,['HLA TIL'],50,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],51,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],52,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],53,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],54,0.5555555555555556,0.7142857142857142,0.38461538461538464
36,['HLA TIL'],55,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],56,0.7222222222222222,0.8387096774193548,0.5
36,['HLA TIL'],57,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],58,0.5555555555555556,0.6666666666666667,0.5064935064935066
36,['HLA TIL'],59,0.6666666666666666,0.8,0.5
36,['HLA TIL'],60,0.5555555555555556,0.6923076923076924,0.44642857142857145
36,['HLA TIL'],61,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],62,0.5,0.6086956521739131,0.45833333333333337
36,['HLA TIL'],63,0.6666666666666666,0.7272727272727272,0.6666666666666667
36,['HLA TIL'],64,0.4444444444444444,0.5454545454545455,0.4307692307692308
36,['HLA TIL'],65,0.7222222222222222,0.8,0.6846153846153846
36,['HLA TIL'],66,0.5,0.47058823529411764,0.5
36,['HLA TIL'],67,0.5555555555555556,0.7142857142857143,0.5
36,['HLA TIL'],68,0.7777777777777778,0.8750000000000001,0.5
36,['HLA TIL'],69,0.4444444444444444,0.6153846153846154,0.3076923076923077
36,['HLA TIL'],70,0.7222222222222222,0.8387096774193548,0.5
36,['HLA TIL'],71,0.7222222222222222,0.8387096774193548,0.5
36,['HLA TIL'],72,0.3888888888888889,0.56,0.5
36,['HLA TIL'],73,0.6111111111111112,0.7407407407407408,0.48461538461538456
36,['HLA TIL'],74,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],75,0.5,0.6666666666666666,0.5
36,['HLA TIL'],76,0.6666666666666666,0.8,0.5
36,['HLA TIL'],77,0.5,0.6666666666666666,0.5
36,['HLA TIL'],78,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],79,0.6666666666666666,0.8,0.5
36,['HLA TIL'],80,0.5555555555555556,0.6363636363636365,0.5416666666666667
36,['HLA TIL'],81,0.5555555555555556,0.7142857142857143,0.5
36,['HLA TIL'],82,0.5555555555555556,0.7142857142857143,0.5
36,['HLA TIL'],83,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],84,0.5,0.6086956521739131,0.45833333333333337
36,['HLA TIL'],85,0.7222222222222222,0.8148148148148148,0.6428571428571428
36,['HLA TIL'],86,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],87,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],88,0.6111111111111112,0.7586206896551725,0.5
36,['HLA TIL'],89,0.5555555555555556,0.7142857142857143,0.5
