month,No,CD4,PD-1,GAL 9 TIL,HLA TIL,score,F1,AUC
24,58,0.4437096417398527,0.03629567791938247,0.2461709850370929,0.27382369530367184,0.5882352941176471,0.6666666666666666,0.5642857142857143
24,59,0.6888213180250675,0.011423526638884187,0.15055097207587262,0.14920418326017557,0.5882352941176471,0.6666666666666666,0.5681818181818181
24,60,0.3884059760958539,0.08027374899582362,0.1843473570256935,0.346972917882629,0.7647058823529411,0.846153846153846,0.6666666666666667
24,61,0.37707004919623666,0.11791554716502362,0.23317722534907884,0.271837178289661,0.5882352941176471,0.631578947368421,0.5857142857142856
24,62,0.4981805877250527,0.11305442000220055,0.2469058211666618,0.14185917110608492,0.5294117647058824,0.6363636363636365,0.4916666666666667
24,63,0.4221949484840573,0.14682311408264376,0.2553762454969449,0.17560569193635414,0.7647058823529411,0.8333333333333333,0.7596153846153846
24,64,0.3840792947826576,0.07616824462776103,0.19632408901990978,0.3434283715696715,0.5882352941176471,0.631578947368421,0.6060606060606062
24,65,0.5054426757062267,0.033733742329684194,0.15981322670044762,0.3010103552636415,0.5882352941176471,0.5333333333333333,0.5833333333333334
24,66,0.45451766904088103,0.03197156090665129,0.16202814136285157,0.35148262868961616,0.6470588235294118,0.7272727272727272,0.6142857142857143
24,67,0.36184055592106773,0.11176329916123127,0.13473794581876689,0.3916581990989341,0.5882352941176471,0.6666666666666667,0.6041666666666667
24,68,0.35958662305191347,0.08179029779321631,0.24585438169475674,0.3127686974601135,0.7647058823529411,0.8461538461538461,0.7261904761904762
24,69,0.40179288510816397,0.0566805123782118,0.1779497346103686,0.36357686790325566,0.7058823529411765,0.7826086956521738,0.6590909090909092
24,70,0.3431855263128369,0.11047710773114862,0.1786331763151531,0.3677041896408615,0.7058823529411765,0.761904761904762,0.7333333333333333
24,71,0.6039456303601617,0.09564438525927331,0.09808985512111407,0.202320129259451,0.5294117647058824,0.6,0.5142857142857143
24,72,0.2434543587289571,0.06196520385440778,0.11112937416854479,0.5834510632480903,0.4117647058823529,0.4444444444444444,0.4097222222222222
24,73,0.3115064316138958,0.09612887667435689,0.1563975447537393,0.4359671469580079,0.7647058823529411,0.8571428571428571,0.5865384615384616
24,74,0.43089563459443087,0.1335169723519318,0.20633835391181388,0.2292490391418233,0.5882352941176471,0.7199999999999999,0.47115384615384615
24,75,0.33481806973653117,0.11551288255845028,0.20482317678443163,0.34484587092058705,0.7058823529411765,0.8,0.6212121212121212
24,76,0.44582131345312803,0.1277334380211708,0.17861113031193912,0.24783411821376222,0.5882352941176471,0.6666666666666666,0.5916666666666667
24,77,0.3074067468278054,0.11247423206954395,0.21986836523623818,0.3602506558664125,0.5294117647058824,0.42857142857142855,0.5208333333333334
24,78,0.5182752548486216,0.08666050098365295,0.2191414568660236,0.17592278730170188,0.7647058823529411,0.8,0.7777777777777778
24,79,0.3855240298673943,0.12078035035205396,0.15236216576957654,0.34133345401097537,0.7058823529411765,0.8148148148148148,0.5833333333333333
24,80,0.4513710817235878,0.09535955281033917,0.11458814092664082,0.3386812245394323,0.5882352941176471,0.6956521739130435,0.5303030303030303
24,81,0.5235077853259836,0.09355379821574822,0.20537891689606255,0.17755949956220557,0.47058823529411764,0.5714285714285713,0.43939393939393945
24,82,0.4161191023989153,0.04914883666434398,0.20057999647232866,0.3341520644644119,0.7058823529411765,0.8,0.6428571428571428
24,83,0.38811214644310565,0.07908287130656508,0.2953379335430422,0.23746704870728697,0.6470588235294118,0.7272727272727272,0.6142857142857143
24,84,0.39048612133557997,0.0723739960891037,0.12045742880649123,0.416682453768825,0.5882352941176471,0.6666666666666666,0.5642857142857143
24,85,0.3945207646513199,0.10819349507426743,0.15576523477825224,0.3415205054961605,0.7058823529411765,0.7826086956521738,0.675
24,86,0.4583756982937945,0.07527699356548606,0.30359544762580565,0.16275186051491383,0.7058823529411765,0.8,0.6166666666666667
24,87,0.3434263942511199,0.13644518925857435,0.16722862226085053,0.35289979422945517,0.6470588235294118,0.7000000000000001,0.6597222222222222
24,88,0.3932765100351508,0.0789813363861358,0.21608720258284184,0.31165495099587165,0.7058823529411765,0.8148148148148148,0.5833333333333333
24,89,0.3790678983873797,0.08443088958275735,0.1287826979998751,0.40771851402998793,0.6470588235294118,0.6250000000000001,0.6527777777777778
24,90,0.3417841642940285,0.13488414088884096,0.19992876450552308,0.32340293031160744,0.8235294117647058,0.8695652173913043,0.8166666666666668
24,91,0.3710598184066521,0.08470661780667958,0.22199050724045166,0.32224305654621677,0.7647058823529411,0.8461538461538461,0.6583333333333332
24,92,0.4414931212706743,0.14291941526482274,0.08740121716769597,0.3281862462968069,0.8235294117647058,0.888888888888889,0.7115384615384616
24,93,0.43956770322453925,0.122473100670121,0.18867045904356658,0.24928873706177312,0.6470588235294118,0.7000000000000001,0.6515151515151516
24,94,0.4088317793413857,0.06877647949604723,0.1341161987318641,0.38827554243070295,0.6470588235294118,0.7692307692307692,0.5378787878787878
24,95,0.38119668213283964,0.05903980998614302,0.10244624526294194,0.4573172626180754,0.7647058823529411,0.8571428571428571,0.5865384615384616
24,96,0.2925340330496349,0.1818077056671745,0.15947055114965247,0.36618771013353807,0.8235294117647058,0.888888888888889,0.7115384615384616
24,97,0.25884175962168887,0.03186215302689555,0.12922976555887664,0.580066321792539,0.5294117647058824,0.6363636363636364,0.48484848484848486
24,98,0.6111782713842834,0.10591954411134298,0.11764848523501267,0.165253699269361,0.5294117647058824,0.6363636363636365,0.4928571428571428
24,99,0.5238115261347197,0.08634170682409835,0.2527216093877796,0.13712515765340227,0.5882352941176471,0.6666666666666666,0.5763888888888888
24,100,0.46871845547714075,0.06771357053998119,0.17101414840967977,0.29255382557319826,0.4117647058823529,0.4444444444444445,0.41428571428571426
36,1,0.23943506990761138,0.12724728018510845,0.185941150938859,0.44737649896842124,0.7222222222222222,0.7826086956521738,0.7
36,2,0.31090770198458156,0.1012785742101067,0.18702014503308764,0.4007935787722242,0.6111111111111112,0.6666666666666666,0.6038961038961038
36,3,0.4363789515160058,0.066152296734726,0.1221313025272393,0.3753374492220288,0.5,0.64,0.4350649350649351
